Name,Fruit 1,Fruit 2,Fruit 3,Fruit 4,Total Fruits Bought,Date,Day,Purchase ID
Jerry,Orange,Apple,Pineapple,Papaya,4,2000-01-01,Sat,1001
Philip,Orange,Strawberry,Orange,Papaya,4,2000-01-01,Sat,1002
Pauline,Orange,Papaya,Pineapple,Papaya,5,2000-01-01,Sat,1003
Jamie,Apple,Tangerine,Pineapple,Papaya,9,2000-01-01,Sat,1004
Pauline,Orange,Apple,Tangerine,Pineapple,7,2000-01-01,Sat,1005
Esther,Orange,Apple,Orange,Pawpaw,8,2000-01-01,Sat,1006
Philip,Apple,Strawberry,Pineapple,Orange,8,2000-01-01,Sat,1007
Jerry,Orange,Papaya,Orange,Tangerine,6,2000-01-01,Sat,1008
Esther,Apple,Strawberry,Orange,Orange,8,2000-01-01,Sat,1009
Pauline,Orange,Papaya,Pineapple,Pawpaw,17,2000-01-01,Sat,1010
Sam,Papaya,Apple,Orange,Orange,20,2000-01-01,Sat,1011
Esther,Orange,Tangerine,Tangerine,Guava,8,2000-01-01,Sat,1012
Sam,Papaya,Strawberry,Strawberry,Pawpaw,6,2000-01-01,Sat,1013
Jamie,Banana,Strawberry,Strawberry,Papaya,5,2000-01-01,Sat,1014
Jerry,Orange,Apple,Tangerine,Orange,6,2000-01-01,Sat,1015
Ralph,Orange,Banana,Strawberry,Orange,20,2000-01-01,Sat,1016
Jerry,Apple,Strawberry,Pineapple,Papaya,20,2000-01-01,Sat,1017
Ralph,Banana,Orange,Orange,Apple,8,2000-01-01,Sat,1018
Sam,Pineapple,Banana,Pineapple,Apple,5,2000-01-01,Sat,1019
Hauwa,Orange,Pineapple,Tangerine,Tangerine,8,2000-01-01,Sat,1020
Esther,Watermelon,Banana,Pineapple,Papaya,8,2000-01-01,Sat,1021
Sam,Orange,Apple,Pineapple,Tangerine,10,2000-01-01,Sat,1022
Philip,Watermelon,Banana,Pineapple,Guava,8,2000-01-01,Sat,1023
Ralph,Banana,Orange,Orange,Apple,20,2000-01-01,Sat,1024
Jamie,Apple,Orange,Strawberry,Guava,8,2000-01-01,Sat,1025
Sam,Apple,Tangerine,Pineapple,Pineapple,9,2000-01-01,Sat,1026
Pauline,Pineapple,Pineapple,Orange,Apple,8,2000-01-01,Sat,1027
Jerry,Apple,Papaya,Pineapple,Apple,17,2000-01-01,Sat,1028
Jamie,Watermelon,Apple,Strawberry,Guava,20,2000-01-01,Sat,1029
Philip,Orange,Strawberry,Pineapple,Papaya,17,2000-01-01,Sat,1030
Esther,Pineapple,Tangerine,Pineapple,Guava,8,2000-01-01,Sat,1031
Jerry,Pineapple,Apple,Orange,Apple,11,2000-01-01,Sat,1032
Pauline,Watermelon,Strawberry,Orange,Pineapple,13,2000-01-01,Sat,1033
Pauline,Orange,Banana,Orange,Pawpaw,8,2000-01-01,Sat,1034
Pauline,Papaya,Strawberry,Orange,Papaya,21,2000-01-01,Sat,1035
Ralph,Apple,Tangerine,Pineapple,Pawpaw,10,2000-01-01,Sat,1036
Sam,Orange,Strawberry,Orange,Papaya,8,2000-01-01,Sat,1037
Philip,Watermelon,Tangerine,Strawberry,Guava,13,2000-01-01,Sat,1038
Esther,Orange,Orange,Strawberry,Tangerine,6,2000-01-01,Sat,1039
Jamie,Papaya,Papaya,Strawberry,Apple,20,2000-01-01,Sat,1040
Sam,Watermelon,Banana,Strawberry,Tangerine,5,2000-01-02,Sun,1041
Esther,Pineapple,Apple,Tangerine,Apple,13,2000-01-02,Sun,1042
Hauwa,Banana,Tangerine,Tangerine,Apple,6,2000-01-02,Sun,1043
Philip,Apple,Orange,Tangerine,Orange,7,2000-01-02,Sun,1044
Jerry,Apple,Banana,Pineapple,Papaya,20,2000-01-02,Sun,1045
Juliet,Apple,Tangerine,Orange,Papaya,4,2000-01-02,Sun,1046
Sam,Orange,Pineapple,Orange,Pineapple,4,2000-01-02,Sun,1047
Jamie,Pineapple,Papaya,Strawberry,Orange,8,2000-01-02,Sun,1048
Jerry,Apple,Orange,Tangerine,Papaya,10,2000-01-02,Sun,1049
Philip,Banana,Banana,Pineapple,Papaya,5,2000-01-02,Sun,1050
Jerry,Watermelon,Apple,Orange,Pawpaw,6,2000-01-02,Sun,1051
Sam,Banana,Pineapple,Orange,Papaya,9,2000-01-02,Sun,1052
Ralph,Pineapple,Strawberry,Orange,Pineapple,5,2000-01-02,Sun,1053
Pauline,Banana,Pineapple,Pineapple,Tangerine,21,2000-01-02,Sun,1054
Jamie,Apple,Apple,Orange,Guava,7,2000-01-02,Sun,1055
Ralph,Pineapple,Pineapple,Orange,Papaya,9,2000-01-02,Sun,1056
Ralph,Apple,Banana,Pineapple,Tangerine,10,2000-01-02,Sun,1057
Jerry,Orange,Apple,Tangerine,Tangerine,8,2000-01-02,Sun,1058
Juliet,Apple,Apple,Tangerine,Orange,8,2000-01-02,Sun,1059
Pauline,Pineapple,Orange,Pineapple,Tangerine,10,2000-01-02,Sun,1060
Jamie,Papaya,Tangerine,Orange,Papaya,11,2000-01-02,Sun,1061
Pauline,Apple,Apple,Pineapple,Guava,8,2000-01-02,Sun,1062
Jamie,Orange,Apple,Strawberry,Papaya,8,2000-01-02,Sun,1063
Sam,Papaya,Strawberry,Orange,Apple,11,2000-01-02,Sun,1064
Juliet,Apple,Pineapple,Pineapple,Papaya,21,2000-01-02,Sun,1065
Ralph,Papaya,Apple,Orange,Apple,9,2000-01-02,Sun,1066
Jamie,Apple,Apple,Strawberry,Orange,9,2000-01-02,Sun,1067
Hauwa,Apple,Banana,Pineapple,Pineapple,7,2000-01-02,Sun,1068
Jerry,Banana,Apple,Strawberry,Tangerine,10,2000-01-02,Sun,1069
Sam,Apple,Apple,Strawberry,Pineapple,13,2000-01-02,Sun,1070
Jamie,Orange,Orange,Pineapple,Orange,20,2000-01-02,Sun,1071
Philip,Pineapple,Apple,Pineapple,Papaya,17,2000-01-02,Sun,1072
Sam,Orange,Papaya,Strawberry,Pineapple,4,2000-01-02,Sun,1073
Pauline,Orange,Tangerine,Pineapple,Tangerine,8,2000-01-02,Sun,1074
Philip,Orange,Apple,Strawberry,Papaya,5,2000-01-02,Sun,1075
Hauwa,Pineapple,Tangerine,Strawberry,Papaya,20,2000-01-02,Sun,1076
Juliet,Orange,Apple,Orange,Papaya,6,2000-01-02,Sun,1077
Philip,Apple,Papaya,Tangerine,Pawpaw,4,2000-01-02,Sun,1078
Jamie,Orange,Apple,Pineapple,Guava,7,2000-01-02,Sun,1079
Juliet,Apple,Apple,Strawberry,Papaya,10,2000-01-02,Sun,1080
Juliet,Banana,Pineapple,Pineapple,Pineapple,17,2000-01-02,Sun,1081
Ralph,Banana,Banana,Strawberry,Papaya,10,2000-01-02,Sun,1082
Philip,Apple,Orange,Tangerine,Apple,5,2000-01-02,Sun,1083
Jamie,Apple,Strawberry,Orange,Apple,8,2000-01-03,Mon,1084
Pauline,Banana,Banana,Pineapple,Guava,20,2000-01-03,Mon,1085
Sam,Orange,Papaya,Strawberry,Apple,17,2000-01-03,Mon,1086
Esther,Watermelon,Apple,Tangerine,Papaya,9,2000-01-03,Mon,1087
Philip,Apple,Orange,Orange,Tangerine,8,2000-01-03,Mon,1088
Jerry,Pineapple,Strawberry,Orange,Guava,10,2000-01-03,Mon,1089
Jamie,Orange,Papaya,Strawberry,Apple,10,2000-01-03,Mon,1090
Juliet,Banana,Pineapple,Pineapple,Papaya,8,2000-01-03,Mon,1091
Hauwa,Banana,Strawberry,Strawberry,Guava,9,2000-01-03,Mon,1092
Juliet,Pineapple,Strawberry,Tangerine,Tangerine,8,2000-01-03,Mon,1093
Juliet,Watermelon,Strawberry,Tangerine,Apple,8,2000-01-03,Mon,1094
Philip,Orange,Papaya,Pineapple,Tangerine,8,2000-01-03,Mon,1095
Philip,Apple,Orange,Strawberry,Pawpaw,6,2000-01-03,Mon,1096
Philip,Orange,Papaya,Tangerine,Pawpaw,20,2000-01-03,Mon,1097
Juliet,Orange,Apple,Tangerine,Orange,4,2000-01-03,Mon,1098
Esther,Orange,Strawberry,Strawberry,Papaya,8,2000-01-03,Mon,1099
Jamie,Papaya,Tangerine,Pineapple,Tangerine,7,2000-01-03,Mon,1100
Ralph,Orange,Tangerine,Orange,Guava,6,2000-01-03,Mon,1101
Hauwa,Papaya,Apple,Pineapple,Papaya,10,2000-01-03,Mon,1102
Jamie,Banana,Papaya,Strawberry,Apple,4,2000-01-03,Mon,1103
Jamie,Apple,Tangerine,Orange,Pineapple,8,2000-01-03,Mon,1104
Juliet,Papaya,Strawberry,Orange,Pineapple,10,2000-01-03,Mon,1105
Sam,Watermelon,Strawberry,Tangerine,Pawpaw,5,2000-01-03,Mon,1106
Hauwa,Apple,Apple,Pineapple,Pineapple,5,2000-01-03,Mon,1107
Juliet,Orange,Banana,Orange,Guava,8,2000-01-03,Mon,1108
Jamie,Watermelon,Papaya,Pineapple,Apple,8,2000-01-03,Mon,1109
Juliet,Watermelon,Pineapple,Pineapple,Guava,9,2000-01-03,Mon,1110
Hauwa,Orange,Apple,Orange,Guava,8,2000-01-03,Mon,1111
Esther,Papaya,Orange,Tangerine,Papaya,4,2000-01-03,Mon,1112
Jerry,Watermelon,Apple,Pineapple,Papaya,13,2000-01-03,Mon,1113
Juliet,Orange,Strawberry,Strawberry,Guava,4,2000-01-03,Mon,1114
Ralph,Watermelon,Strawberry,Strawberry,Orange,8,2000-01-03,Mon,1115
Pauline,Orange,Tangerine,Orange,Orange,5,2000-01-03,Mon,1116
Hauwa,Watermelon,Tangerine,Orange,Pawpaw,10,2000-01-03,Mon,1117
Jerry,Apple,Banana,Strawberry,Papaya,8,2000-01-03,Mon,1118
Ralph,Apple,Apple,Tangerine,Tangerine,7,2000-01-03,Mon,1119
Hauwa,Pineapple,Pineapple,Strawberry,Tangerine,21,2000-01-03,Mon,1120
Philip,Orange,Apple,Strawberry,Papaya,20,2000-01-03,Mon,1121
Pauline,Banana,Banana,Orange,Orange,5,2000-01-03,Mon,1122
Ralph,Banana,Apple,Tangerine,Tangerine,8,2000-01-03,Mon,1123
Jamie,Pineapple,Tangerine,Orange,Pawpaw,21,2000-01-03,Mon,1124
Jamie,Apple,Banana,Orange,Pawpaw,13,2000-01-03,Mon,1125
Jerry,Banana,Papaya,Tangerine,Tangerine,5,2000-01-03,Mon,1126
Jamie,Papaya,Pineapple,Pineapple,Papaya,5,2000-01-03,Mon,1127
Esther,Orange,Banana,Strawberry,Apple,17,2000-01-03,Mon,1128
Hauwa,Apple,Tangerine,Pineapple,Papaya,4,2000-01-03,Mon,1129
Sam,Watermelon,Pineapple,Pineapple,Papaya,8,2000-01-03,Mon,1130
Juliet,Banana,Apple,Orange,Guava,4,2000-01-03,Mon,1131
Juliet,Pineapple,Banana,Tangerine,Apple,10,2000-01-03,Mon,1132
Juliet,Apple,Apple,Strawberry,Papaya,9,2000-01-03,Mon,1133
Philip,Pineapple,Orange,Tangerine,Orange,10,2000-01-04,Tue,1134
Sam,Watermelon,Pineapple,Pineapple,Papaya,5,2000-01-04,Tue,1135
Hauwa,Orange,Orange,Strawberry,Pawpaw,4,2000-01-04,Tue,1136
Pauline,Apple,Pineapple,Pineapple,Pawpaw,7,2000-01-04,Tue,1137
Philip,Banana,Papaya,Strawberry,Papaya,20,2000-01-04,Tue,1138
Philip,Apple,Orange,Orange,Apple,20,2000-01-04,Tue,1139
Hauwa,Orange,Apple,Tangerine,Pineapple,5,2000-01-04,Tue,1140
Esther,Watermelon,Papaya,Tangerine,Papaya,8,2000-01-04,Tue,1141
Juliet,Papaya,Tangerine,Tangerine,Tangerine,20,2000-01-04,Tue,1142
Jerry,Orange,Strawberry,Tangerine,Orange,10,2000-01-04,Tue,1143
Hauwa,Watermelon,Apple,Pineapple,Pineapple,10,2000-01-04,Tue,1144
Jerry,Apple,Apple,Orange,Tangerine,11,2000-01-04,Tue,1145
Jerry,Apple,Apple,Orange,Pineapple,21,2000-01-04,Tue,1146
Philip,Apple,Strawberry,Tangerine,Papaya,7,2000-01-04,Tue,1147
Jerry,Apple,Apple,Pineapple,Pawpaw,21,2000-01-04,Tue,1148
Ralph,Apple,Apple,Orange,Pineapple,20,2000-01-04,Tue,1149
Philip,Orange,Tangerine,Strawberry,Pineapple,8,2000-01-04,Tue,1150
Juliet,Papaya,Tangerine,Strawberry,Orange,11,2000-01-04,Tue,1151
Pauline,Pineapple,Orange,Tangerine,Tangerine,21,2000-01-04,Tue,1152
Juliet,Pineapple,Orange,Strawberry,Pawpaw,5,2000-01-04,Tue,1153
Pauline,Papaya,Strawberry,Orange,Pineapple,8,2000-01-04,Tue,1154
Sam,Apple,Apple,Orange,Pawpaw,8,2000-01-04,Tue,1155
Jamie,Banana,Strawberry,Strawberry,Pineapple,9,2000-01-04,Tue,1156
Ralph,Orange,Tangerine,Strawberry,Pawpaw,5,2000-01-04,Tue,1157
Sam,Papaya,Apple,Orange,Apple,10,2000-01-04,Tue,1158
Philip,Orange,Pineapple,Tangerine,Guava,21,2000-01-04,Tue,1159
Ralph,Apple,Banana,Strawberry,Papaya,4,2000-01-04,Tue,1160
Ralph,Watermelon,Banana,Orange,Guava,4,2000-01-04,Tue,1161
Esther,Orange,Apple,Strawberry,Tangerine,10,2000-01-04,Tue,1162
Esther,Orange,Pineapple,Orange,Pineapple,8,2000-01-04,Tue,1163
Juliet,Watermelon,Apple,Strawberry,Tangerine,6,2000-01-04,Tue,1164
Philip,Pineapple,Tangerine,Orange,Papaya,21,2000-01-04,Tue,1165
Ralph,Apple,Strawberry,Orange,Apple,20,2000-01-04,Tue,1166
Jerry,Watermelon,Orange,Orange,Guava,21,2000-01-04,Tue,1167
Sam,Orange,Strawberry,Tangerine,Guava,20,2000-01-04,Tue,1168
Pauline,Apple,Apple,Tangerine,Tangerine,8,2000-01-04,Tue,1169
Ralph,Watermelon,Orange,Pineapple,Orange,8,2000-01-04,Tue,1170
Sam,Orange,Tangerine,Strawberry,Pineapple,20,2000-01-04,Tue,1171
Jerry,Apple,Banana,Pineapple,Papaya,8,2000-01-04,Tue,1172
Juliet,Orange,Papaya,Pineapple,Pawpaw,8,2000-01-04,Tue,1173
Sam,Apple,Strawberry,Orange,Tangerine,13,2000-01-04,Tue,1174
Ralph,Banana,Banana,Tangerine,Guava,11,2000-01-04,Tue,1175
Esther,Orange,Apple,Tangerine,Pawpaw,5,2000-01-04,Tue,1176
Jamie,Pineapple,Apple,Pineapple,Pineapple,8,2000-01-04,Tue,1177
Pauline,Apple,Strawberry,Strawberry,Guava,8,2000-01-04,Tue,1178
Hauwa,Pineapple,Pineapple,Tangerine,Papaya,10,2000-01-04,Tue,1179
Juliet,Banana,Pineapple,Tangerine,Papaya,5,2000-01-04,Tue,1180
Pauline,Watermelon,Papaya,Strawberry,Pineapple,20,2000-01-04,Tue,1181
Juliet,Papaya,Orange,Orange,Tangerine,8,2000-01-04,Tue,1182
Jerry,Banana,Pineapple,Strawberry,Tangerine,8,2000-01-04,Tue,1183
Pauline,Watermelon,Papaya,Strawberry,Papaya,21,2000-01-04,Tue,1184
Ralph,Orange,Pineapple,Pineapple,Pineapple,10,2000-01-05,Wed,1185
Juliet,Apple,Papaya,Orange,Tangerine,5,2000-01-05,Wed,1186
Juliet,Watermelon,Orange,Tangerine,Papaya,6,2000-01-05,Wed,1187
Philip,Pineapple,Tangerine,Orange,Apple,6,2000-01-05,Wed,1188
Hauwa,Orange,Banana,Orange,Papaya,20,2000-01-05,Wed,1189
Hauwa,Apple,Apple,Tangerine,Guava,20,2000-01-05,Wed,1190
Jerry,Apple,Orange,Pineapple,Tangerine,17,2000-01-05,Wed,1191
Esther,Apple,Papaya,Pineapple,Papaya,20,2000-01-05,Wed,1192
Esther,Orange,Orange,Tangerine,Orange,8,2000-01-05,Wed,1193
Jerry,Papaya,Apple,Orange,Pawpaw,20,2000-01-05,Wed,1194
Sam,Apple,Apple,Tangerine,Papaya,8,2000-01-05,Wed,1195
Esther,Orange,Apple,Strawberry,Orange,20,2000-01-05,Wed,1196
Philip,Papaya,Pineapple,Strawberry,Guava,13,2000-01-05,Wed,1197
Jamie,Apple,Strawberry,Orange,Orange,13,2000-01-05,Wed,1198
Jamie,Apple,Apple,Orange,Papaya,10,2000-01-05,Wed,1199
Philip,Orange,Apple,Strawberry,Pineapple,11,2000-01-05,Wed,1200
Esther,Orange,Strawberry,Orange,Pineapple,11,2000-01-05,Wed,1201
Ralph,Watermelon,Apple,Strawberry,Papaya,10,2000-01-05,Wed,1202
Hauwa,Orange,Strawberry,Strawberry,Apple,10,2000-01-05,Wed,1203
Juliet,Apple,Pineapple,Strawberry,Pawpaw,10,2000-01-05,Wed,1204
Pauline,Orange,Strawberry,Pineapple,Apple,20,2000-01-05,Wed,1205
Juliet,Apple,Pineapple,Tangerine,Apple,8,2000-01-05,Wed,1206
Ralph,Orange,Apple,Strawberry,Papaya,11,2000-01-05,Wed,1207
Sam,Apple,Banana,Pineapple,Guava,11,2000-01-05,Wed,1208
Hauwa,Pineapple,Tangerine,Orange,Orange,6,2000-01-05,Wed,1209
Hauwa,Pineapple,Apple,Orange,Tangerine,9,2000-01-05,Wed,1210
Jamie,Watermelon,Pineapple,Tangerine,Pineapple,4,2000-01-05,Wed,1211
Jerry,Apple,Pineapple,Orange,Orange,5,2000-01-05,Wed,1212
Esther,Papaya,Orange,Orange,Guava,17,2000-01-05,Wed,1213
Sam,Apple,Apple,Orange,Pawpaw,4,2000-01-05,Wed,1214
Hauwa,Orange,Apple,Pineapple,Orange,5,2000-01-05,Wed,1215
Jerry,Watermelon,Tangerine,Orange,Pineapple,10,2000-01-05,Wed,1216
Esther,Apple,Apple,Tangerine,Tangerine,20,2000-01-05,Wed,1217
Ralph,Banana,Apple,Tangerine,Tangerine,9,2000-01-05,Wed,1218
Jerry,Pineapple,Orange,Pineapple,Papaya,13,2000-01-05,Wed,1219
Sam,Watermelon,Orange,Orange,Papaya,20,2000-01-05,Wed,1220
Hauwa,Apple,Tangerine,Orange,Pineapple,8,2000-01-05,Wed,1221
Juliet,Orange,Orange,Orange,Pawpaw,20,2000-01-05,Wed,1222
Pauline,Orange,Banana,Tangerine,Orange,9,2000-01-05,Wed,1223
Esther,Apple,Tangerine,Pineapple,Papaya,20,2000-01-06,Thu,1224
Esther,Pineapple,Tangerine,Strawberry,Guava,10,2000-01-06,Thu,1225
Sam,Orange,Pineapple,Strawberry,Pineapple,6,2000-01-06,Thu,1226
Sam,Pineapple,Banana,Tangerine,Guava,10,2000-01-06,Thu,1227
Esther,Apple,Orange,Tangerine,Orange,17,2000-01-06,Thu,1228
Juliet,Apple,Tangerine,Orange,Apple,8,2000-01-06,Thu,1229
Hauwa,Watermelon,Banana,Tangerine,Pawpaw,6,2000-01-06,Thu,1230
Jamie,Apple,Orange,Orange,Orange,8,2000-01-06,Thu,1231
Philip,Orange,Banana,Pineapple,Apple,20,2000-01-06,Thu,1232
Juliet,Watermelon,Strawberry,Orange,Papaya,20,2000-01-06,Thu,1233
Juliet,Orange,Papaya,Pineapple,Orange,10,2000-01-06,Thu,1234
Juliet,Pineapple,Orange,Strawberry,Orange,13,2000-01-06,Thu,1235
Jamie,Pineapple,Papaya,Orange,Pineapple,8,2000-01-06,Thu,1236
Hauwa,Orange,Banana,Orange,Pawpaw,13,2000-01-06,Thu,1237
Sam,Watermelon,Pineapple,Tangerine,Orange,5,2000-01-06,Thu,1238
Jerry,Apple,Apple,Strawberry,Pawpaw,7,2000-01-06,Thu,1239
Juliet,Watermelon,Apple,Strawberry,Papaya,8,2000-01-06,Thu,1240
Jerry,Apple,Apple,Strawberry,Guava,5,2000-01-06,Thu,1241
Esther,Pineapple,Pineapple,Orange,Papaya,10,2000-01-06,Thu,1242
Sam,Papaya,Strawberry,Pineapple,Pineapple,13,2000-01-06,Thu,1243
Ralph,Apple,Banana,Tangerine,Orange,10,2000-01-06,Thu,1244
Jerry,Apple,Banana,Tangerine,Pawpaw,21,2000-01-06,Thu,1245
Philip,Orange,Papaya,Orange,Apple,17,2000-01-06,Thu,1246
Jamie,Orange,Tangerine,Tangerine,Pawpaw,13,2000-01-06,Thu,1247
Ralph,Apple,Tangerine,Pineapple,Pawpaw,8,2000-01-06,Thu,1248
Esther,Pineapple,Orange,Orange,Pawpaw,6,2000-01-06,Thu,1249
Pauline,Apple,Orange,Tangerine,Orange,17,2000-01-06,Thu,1250
Jamie,Watermelon,Banana,Orange,Tangerine,20,2000-01-06,Thu,1251
Jerry,Papaya,Pineapple,Orange,Pineapple,9,2000-01-06,Thu,1252
Jerry,Banana,Tangerine,Tangerine,Pineapple,11,2000-01-06,Thu,1253
Jerry,Banana,Strawberry,Tangerine,Pineapple,6,2000-01-06,Thu,1254
Juliet,Pineapple,Pineapple,Tangerine,Apple,8,2000-01-06,Thu,1255
Juliet,Papaya,Pineapple,Orange,Pawpaw,6,2000-01-06,Thu,1256
Ralph,Orange,Pineapple,Tangerine,Papaya,8,2000-01-06,Thu,1257
Esther,Orange,Banana,Tangerine,Pawpaw,5,2000-01-06,Thu,1258
Philip,Pineapple,Pineapple,Tangerine,Apple,5,2000-01-06,Thu,1259
Juliet,Watermelon,Apple,Strawberry,Orange,8,2000-01-06,Thu,1260
Pauline,Papaya,Orange,Tangerine,Pineapple,8,2000-01-06,Thu,1261
Jamie,Orange,Papaya,Tangerine,Guava,10,2000-01-06,Thu,1262
Philip,Pineapple,Tangerine,Tangerine,Apple,4,2000-01-06,Thu,1263
Ralph,Watermelon,Orange,Orange,Papaya,8,2000-01-06,Thu,1264
Juliet,Apple,Apple,Orange,Papaya,8,2000-01-06,Thu,1265
Hauwa,Apple,Banana,Orange,Papaya,9,2000-01-06,Thu,1266
Philip,Apple,Apple,Strawberry,Guava,10,2000-01-06,Thu,1267
Esther,Orange,Apple,Tangerine,Pawpaw,10,2000-01-06,Thu,1268
Hauwa,Apple,Apple,Orange,Pineapple,4,2000-01-06,Thu,1269
Philip,Pineapple,Strawberry,Strawberry,Papaya,17,2000-01-06,Thu,1270
Esther,Pineapple,Orange,Pineapple,Papaya,10,2000-01-06,Thu,1271
Ralph,Banana,Papaya,Pineapple,Pineapple,10,2000-01-06,Thu,1272
Hauwa,Banana,Strawberry,Pineapple,Tangerine,4,2000-01-06,Thu,1273
Ralph,Orange,Papaya,Tangerine,Tangerine,20,2000-01-06,Thu,1274
Jamie,Apple,Tangerine,Tangerine,Apple,5,2000-01-06,Thu,1275
Juliet,Orange,Papaya,Orange,Guava,8,2000-01-06,Thu,1276
Jamie,Orange,Apple,Tangerine,Papaya,20,2000-01-06,Thu,1277
Juliet,Papaya,Papaya,Pineapple,Guava,5,2000-01-07,Fri,1278
Pauline,Apple,Apple,Orange,Papaya,5,2000-01-07,Fri,1279
Juliet,Apple,Papaya,Pineapple,Papaya,17,2000-01-07,Fri,1280
Jerry,Pineapple,Tangerine,Strawberry,Orange,17,2000-01-07,Fri,1281
Jerry,Banana,Banana,Pineapple,Apple,6,2000-01-07,Fri,1282
Esther,Apple,Tangerine,Tangerine,Guava,17,2000-01-07,Fri,1283
Philip,Pineapple,Apple,Orange,Apple,13,2000-01-07,Fri,1284
Sam,Apple,Apple,Pineapple,Guava,11,2000-01-07,Fri,1285
Pauline,Apple,Pineapple,Tangerine,Tangerine,9,2000-01-07,Fri,1286
Hauwa,Apple,Apple,Orange,Tangerine,4,2000-01-07,Fri,1287
Juliet,Pineapple,Apple,Strawberry,Apple,10,2000-01-07,Fri,1288
Hauwa,Orange,Orange,Orange,Guava,8,2000-01-07,Fri,1289
Sam,Apple,Apple,Pineapple,Guava,10,2000-01-07,Fri,1290
Esther,Apple,Strawberry,Tangerine,Papaya,8,2000-01-07,Fri,1291
Philip,Orange,Strawberry,Orange,Papaya,8,2000-01-07,Fri,1292
Juliet,Pineapple,Strawberry,Strawberry,Tangerine,20,2000-01-07,Fri,1293
Pauline,Banana,Tangerine,Orange,Papaya,11,2000-01-07,Fri,1294
